state,date,deaths,cases,Case_Fatality_Ratio
Alabama,2020-03-01,11,232,4.4
Alabama,2020-03-08,19,576,2.81
Alabama,2020-03-15,31,864,4.23
Alabama,2020-03-22,46,1367,2.54
Alabama,2020-03-29,60,1949,2.92
Alabama,2020-04-05,72,2355,3.11
Alabama,2020-04-12,87,2830,3.08
Alabama,2020-04-19,97,3196,3.08
Alabama,2020-04-26,111,3605,4.07
Alabama,2020-05-03,121,3966,3.68
Alabama,2020-05-10,128,4271,2.84
Alabama,2020-05-17,141,4539,4.43
Alabama,2020-05-24,144,4662,2.7
Alabama,2020-05-31,146,4737,2.74
Alabama,2020-06-07,148,4845,2.86
Alabama,2020-06-14,151,5010,1.97
Alabama,2020-06-21,154,5164,1.78
Alabama,2020-06-28,159,5339,2.91
Alabama,2020-07-05,162,5498,2.88
Alabama,2020-07-12,163,5621,1.57
Alabama,2020-07-19,166,5761,1.91
Alabama,2020-07-26,168,5898,1.92
Alabama,2020-08-02,170,6016,2.7
Alabama,2020-08-09,174,6210,2.66
Alabama,2020-08-16,177,6316,2.72
Alabama,2020-08-23,180,6487,2.66
Alabama,2020-08-30,182,6624,1.67
Alabama,2020-09-06,184,6785,2.0
Alabama,2020-09-13,186,6918,1.99
Alabama,2020-09-20,190,7081,2.83
Alabama,2020-09-27,193,7197,2.57
Alabama,2020-10-04,206,7696,2.66
Alabama,2020-10-11,215,8234,2.14
Alabama,2020-10-18,222,8678,1.55
Alabama,2020-10-25,236,9234,2.26
Alabama,2020-11-01,249,9801,2.12
Alabama,2020-11-08,257,10388,1.62
Alabama,2020-11-15,275,10968,2.89
Alabama,2020-11-22,300,11773,2.81
Alabama,2020-11-29,317,12384,2.84
Alabama,2020-12-06,340,13273,2.84
Alabama,2020-12-13,350,13838,1.84
Alabama,2020-12-20,369,14691,2.79
Alabama,2020-12-27,382,15382,2.13
Alabama,2021-01-03,389,15883,1.21
Alabama,2021-01-10,397,16424,1.42
Alabama,2021-01-17,408,16936,1.97
Alabama,2021-01-24,413,17368,1.4
Alabama,2021-01-31,416,17767,0.84
Alabama,2021-02-07,419,18178,0.86
Alabama,2021-02-14,423,18633,1.09
Alabama,2021-02-21,428,18957,1.98
Alabama,2021-02-28,432,19281,1.71
Alabama,2021-03-07,434,19509,1.24
Alabama,2021-03-14,436,19726,1.44
Alabama,2021-03-21,438,19967,1.18
Alabama,2021-03-28,440,20112,1.51
Alabama,2021-04-04,441,20254,1.41
Alabama,2021-04-11,443,20472,1.01
Alabama,2021-04-18,446,20659,1.92
Alabama,2021-04-25,447,20840,0.94
Alabama,2021-05-02,449,21086,1.11
Alabama,2021-05-09,452,21325,1.47
Alabama,2021-05-16,453,21494,0.91
Alabama,2021-05-23,456,21743,1.56
Alabama,2021-05-30,459,21925,1.67
Alabama,2021-06-06,466,22335,1.74
Alabama,2021-06-13,468,22570,0.99
Alabama,2021-06-20,470,22885,0.81
Alabama,2021-06-27,472,23194,0.81
Alabama,2021-07-04,476,23471,1.63
Alabama,2021-07-11,479,23688,1.65
Alabama,2021-07-18,483,23915,1.7
Alabama,2021-07-25,487,24219,1.59
Alabama,2021-08-01,489,24409,1.24
Alabama,2021-08-08,493,24625,1.97
Alabama,2021-08-15,498,24950,1.56
Alabama,2021-08-22,502,25224,1.49
Alabama,2021-08-29,505,25458,1.67
Alabama,2021-09-05,507,25674,1.57
Alabama,2021-09-12,516,26079,1.94
Alabama,2021-09-19,519,26393,0.82
Alabama,2021-09-26,527,26739,1.96
Alabama,2021-10-03,532,27204,1.15
Alabama,2021-10-10,537,27696,1.18
Alabama,2021-10-17,546,28140,1.92
