student_id,study_hours,sleep_hours,gpa,study_environment,active_recall,major,year
1,15,7.5,3.4,library,yes,STEM,Junior
2,8,6.0,2.8,home,no,Business,Sophomore
3,20,7.0,3.7,library,yes,STEM,Senior
4,5,8.0,2.5,cafe,no,Arts,Freshman
5,12,7.5,3.2,mixed,yes,Humanities,Junior
6,25,6.5,3.5,library,yes,STEM,Senior
7,10,8.5,3.0,home,no,Business,Sophomore
8,18,7.0,3.6,library,yes,STEM,Junior
9,6,5.5,2.2,cafe,no,Arts,Freshman
10,14,8.0,3.3,mixed,yes,Humanities,Senior
11,22,6.0,3.4,library,yes,STEM,Senior
12,9,7.5,2.9,home,no,Business,Junior
13,16,7.0,3.5,library,yes,STEM,Sophomore
14,4,9.0,2.3,home,no,Arts,Freshman
15,11,7.5,3.1,mixed,yes,Humanities,Junior
16,19,6.5,3.6,library,yes,STEM,Senior
17,7,8.0,2.7,cafe,no,Business,Freshman
18,13,7.0,3.2,mixed,yes,STEM,Junior
19,3,5.0,2.0,home,no,Arts,Freshman
20,17,7.5,3.5,library,yes,Humanities,Senior
21,21,6.0,3.3,library,yes,STEM,Senior
22,8,8.5,2.8,home,no,Business,Sophomore
23,15,7.0,3.4,mixed,yes,STEM,Junior
24,6,6.5,2.4,cafe,no,Arts,Sophomore
25,12,8.0,3.1,library,yes,Humanities,Junior
26,24,5.5,3.2,library,yes,STEM,Senior
27,10,7.5,3.0,home,yes,Business,Junior
28,14,7.0,3.3,mixed,yes,STEM,Sophomore
29,5,9.5,2.5,home,no,Arts,Freshman
30,18,7.5,3.6,library,yes,Humanities,Senior
